,hostname,Placement Id,Placement Name,Viewability Measurement Rate %,Viewability Rate % Xandr,Viewability Rate % Tobii,Viewability rate % Tobii 1 second,Viewability rate % Tobii IAB or 1 second
0,aftonbladet.se,19499407,SE-Aftonbladet-wde-Article-Insider_1,90,80,60,61,61
1,aftonbladet.se,19499410,SE-Aftonbladet-wde-Article-Modul_1,81,82,54,55,55
2,aftonbladet.se,19499417,SE-Aftonbladet-wde-Article-Widescreen_1,95,84,62,62,62
3,aftonbladet.se,19499420,SE-Aftonbladet-wde-Front-Insider_1,95,66,44,45,45
4,aftonbladet.se,19499425,SE-Aftonbladet-wde-Front-Insider_6,95,75,44,45,45
5,aftonbladet.se,19499428,SE-Aftonbladet-wde-Front-Modul_1,98,65,34,34,34
6,aftonbladet.se,19499429,SE-Aftonbladet-wde-Front-Modul_10,86,77,43,43,43
7,aftonbladet.se,19499430,SE-Aftonbladet-wde-Front-Modul_11,87,79,48,49,49
8,aftonbladet.se,19499433,SE-Aftonbladet-wde-Front-Modul_4,88,76,49,50,50
9,aftonbladet.se,19499437,SE-Aftonbladet-wde-Front-Modul_8,87,78,48,49,49
10,aftonbladet.se,19499438,SE-Aftonbladet-wde-Front-Modul_9,95,79,49,49,49
11,aftonbladet.se,19499440,SE-Aftonbladet-wde-Front-Takeover,63,86,70,70,70
12,aftonbladet.se,19499441,SE-Aftonbladet-wde-Front-Toppanorama,98,78,62,63,63
13,aftonbladet.se,19499442,SE-Aftonbladet-wde-Front-Widescreen_1,96,86,79,79,79
14,aftonbladet.se,19499443,SE-Aftonbladet-wde-Front-Widescreen_2,98,66,39,39,39
15,aftonbladet.se,19499449,SE-Aftonbladet-wde-Local-Widescreen_1,96,49,55,58,58
16,aftonbladet.se,19499470,SE-Aftonbladet-wph-Article-Toppanorama,97,45,58,58,58
17,aftonbladet.se,19499475,SE-Aftonbladet-wph-Front-Panorama_1,98,70,43,45,45
18,aftonbladet.se,19499490,SE-Aftonbladet-wph-Front-Toppanorama,97,63,69,69,69
19,blocket.se,19499521,SE-Blocket-wde-Object-Panorama_1,99,67,41,41,41
20,blocket.se,19499522,SE-Blocket-wde-Object-Post_it_1,79,92,34,35,35
21,blocket.se,19499523,SE-Blocket-wde-Object-Post_it_2,42,62,16,15,15
22,blocket.se,19499524,SE-Blocket-wde-Object-Post_it_3,31,58,14,17,17
23,blocket.se,19499532,SE-Blocket-wde-Result-Toppanorama,95,63,45,51,51
24,blocket.se,19499533,SE-Blocket-wde-Result-Widescreen_1,97,79,50,52,52
25,blocket.se,19499535,SE-Blocket-wde-Section-Panorama_1,99,67,32,48,48
26,blocket.se,19499541,SE-Blocket-wde-Section-Widescreen_1,97,74,38,27,27
27,blocket.se,19499542,SE-Blocket-wph-Front-Panorama_1,87,66,29,0,0
30,aftonbladet.se,21067128,SE-Aftonbladet-wde-Front-Modul_12,96,80,49,49,49
31,aftonbladet.se,21067129,SE-Aftonbladet-wde-Front-Modul_13,88,79,55,56,56
32,aftonbladet.se,21067130,SE-Aftonbladet-wde-Front-Modul_14,87,79,52,53,53
33,aftonbladet.se,21067133,SE-Aftonbladet-wde-Front-Modul_15,96,81,49,49,49
34,aftonbladet.se,21067134,SE-Aftonbladet-wde-Front-Modul_16,87,82,47,47,47
35,aftonbladet.se,23373659,SE-Aftonbladet-wde-Front-Modul_Backfill_1,3,76,33,33,33
36,aftonbladet.se,23373681,SE-Aftonbladet-wde-Front-Modul_Backfill_3,95,76,45,45,45
37,aftonbladet.se,23373701,SE-Aftonbladet-wde-Article-Modul_Backfill_1,74,69,34,35,35
38,aftonbladet.se,23375557,SE-Aftonbladet-wde-Front-Modul_Backfill_4,96,80,52,53,53
